canonical_id,canonical_name,venue_type,noise_pos,noise_neu,noise_neg,noise_n,crowding_pos,crowding_neu,crowding_neg,crowding_n,calm_pos,calm_neu,calm_neg,calm_n,show_calm
cv_0040,Felix Roasting Co.,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0041,Devoción,cafe,0,0,1,1,0,0,3,3,0,0,4,4,True
cv_0042,Gregorys Coffee,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0043,Think Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0044,Bibliotheque,cafe,1,0,1,2,0,0,0,0,1,0,1,2,True
cv_0045,Ground Central Coffee Company,cafe,1,1,0,2,0,0,0,0,1,1,0,2,True
cv_0046,Ariston Flowers,other,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0047,Joe Coffee Company: Waverly,cafe,1,0,0,1,0,0,1,1,1,0,1,2,True
cv_0048,citizenM New York Bowery,hotel,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0049,Irving Farm Coffee,cafe,2,0,0,2,1,0,0,1,3,0,0,3,True
cv_0050,Dear Mama,cafe,1,0,0,1,1,0,0,1,2,0,0,2,True
cv_0051,PUBLIC Hotel,hotel,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0052,787 Coffee,cafe,0,1,0,1,0,0,0,0,0,1,0,1,True
cv_0053,787 Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0054,Capital One Café,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0055,Ground Central Coffee Company,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0056,Pause Cafe,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0057,Remi43 Flower & Coffee,cafe,0,0,0,0,0,0,2,2,0,0,2,2,True
cv_0062,Buunni Coffee - Pinehurst,cafe,1,0,0,1,0,0,1,1,1,0,1,2,True
cv_0058,The Marlton Hotel,hotel,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0059,Capital One Café,cafe,2,0,0,2,2,0,0,2,4,0,0,4,True
cv_0060,The Clock Coffee Shop,cafe,1,0,0,1,1,0,0,1,2,0,0,2,True
cv_0061,The Townhouse Cafe,cafe,0,0,0,0,1,0,0,1,1,0,0,1,True
cv_0063,Ground Central Coffee Company,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0064,Felix Roasting Co.,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0065,Everyman Espresso,cafe,1,0,0,1,0,0,1,1,1,0,1,2,True
cv_0066,Kaffe Åre,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0067,Bluestone Lane Midtown East Coffee Shop,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0068,Café Grumpy - Lower East Side,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0069,Bean & Bean Chelsea,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0070,Think Coffee,cafe,0,1,0,1,1,0,0,1,1,1,0,2,True
cv_0104,Ninth Street Espresso,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0071,Barnes & Noble,cafe,1,0,0,1,1,0,0,1,2,0,0,2,True
cv_0072,Ost Cafe,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0073,Central Perk Coffee Company,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0074,53rd Street Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0075,St. Agnes Library,library,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0076,Bloomingdale Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0077,Yorkville Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0078,New Amsterdam Library,library,1,0,0,1,0,0,2,2,1,0,2,3,True
cv_0114,Intelligentsia Coffee High Line Hotel Coffeebar,cafe,1,0,0,1,0,0,1,1,1,0,1,2,True
cv_0079,Toby’s Estate Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0080,Irving Farm Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0081,Felix Roasting Co.,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0082,Birch Coffee,cafe,2,0,0,2,1,0,0,1,3,0,0,3,True
cv_0083,The Roxy Hotel New York,hotel,2,0,0,2,0,0,0,0,2,0,0,2,True
cv_0084,King's Street Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0085,Brookfield Place,other,1,0,1,2,1,0,0,1,2,0,1,3,True
cv_0086,Remi Flower & Coffee,cafe,0,0,0,0,0,0,2,2,0,0,2,2,True
cv_0115,NewsBar Café,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0087,Birch Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0088,Capital One Café,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0089,Charlotte Cafe,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0090,Charlotte Cafe,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0091,Ground Central Coffee Company,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0092,Variety Coffee Roasters,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0093,Bluestone Lane Manhattan West Café,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0094,787 Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0120,Chatham Square Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0095,Kona Coffee Roasters | Chelsea,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0096,"P&T Knitwear Bookstore, Coffee, & Podcast Studio",cafe,0,0,0,0,1,0,0,1,1,0,0,1,True
cv_0097,Bar Room at the Beekman,bar,1,0,0,1,0,0,1,1,1,0,1,2,True
cv_0098,Mushtari Cafe,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0099,787 Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0100,THE ELK,cafe,2,0,0,2,0,0,0,0,2,0,0,2,True
cv_0101,Manhattanville Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0102,Think Coffee,cafe,0,0,0,0,1,0,0,1,1,0,0,1,True
cv_0103,Starbucks Reserve Roastery New York,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0160,The Drama Book Shop,other,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0105,Elsewhere Espresso.,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0106,B Cup Cafe & Eatery,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0107,Hungry Ghost Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0108,Irving Farm Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0109,Church of Heavenly Rest Café,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0110,Capital One Café,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0111,Ole & Steen,cafe,2,0,0,2,1,0,0,1,3,0,0,3,True
cv_0112,Strand Book Store,other,2,0,0,2,1,0,0,1,3,0,0,3,True
cv_0113,Think Coffee,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0116,outro nyc,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0117,96th Street Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0118,Morningside Heights Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0119,Veselka,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0121,Washington Heights Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0122,58th Street Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0123,Joe Coffee Company: Bryant Park,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0124,maman,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0125,Ground Central Coffee Company,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0126,Blue Bottle Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0127,Double Dutch Espresso,cafe,1,0,0,1,0,0,1,1,1,0,1,2,True
cv_0128,Ground Central Coffee Company,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0129,Daily Provisions - Union Square,restaurant,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0130,maman,cafe,0,0,0,0,1,0,0,1,1,0,0,1,True
cv_0131,Think Coffee,cafe,0,0,0,0,1,0,0,1,1,0,0,1,True
cv_0132,About Coffee,cafe,0,0,0,0,1,0,0,1,1,0,0,1,True
cv_0133,Ralph's Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0161,Georgie’s Cafe & Bar,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0134,Caffe Aronne | Mobile espresso bar & coffee catering,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0135,Midnight Express Diner,restaurant,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0136,Telegraphe Cafe.,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0137,Blue Bottle Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0138,La Cabra,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0139,Urban Backyard,cafe,1,0,0,1,1,0,0,1,2,0,0,2,True
cv_0140,Café Sabarsky,restaurant,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0141,Bibble & Sip,cafe,0,0,0,0,1,0,0,1,1,0,0,1,True
cv_0142,The Ludlow Hotel,hotel,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0143,11th Street Cafe,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0144,Coppola Cafe,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0145,Joe Coffee Company: LaGuardia Place,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0146,Brewlita,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0147,Dr Smood,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0148,Blue Bottle Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0149,Poetica Coffee,cafe,0,0,1,1,0,0,0,0,0,0,1,1,True
cv_0150,Picky Barista,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0151,Madame Bonté Café,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0152,Coffee Project New York | Hell's Kitchen,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0153,Coffee Project New York | Financial District,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0154,Blue Bottle Coffee,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0155,Cafe Cluny,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0156,Ground Central Coffee Company,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0157,Company,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0158,Felix Roasting Co.,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0159,Urbana Cafe & Gallery,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0162,Rex,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0163,JOE & THE JUICE,cafe,0,0,1,1,0,0,0,0,0,0,1,1,True
cv_0164,Silence Please,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0165,Sandro's,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0166,Enoch's,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0167,El Barrista cafe,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0168,Kaafi by Chaiguy,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0169,NBHD Brulee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0170,Slate Cafe NoMad,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0276,Gregorys Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0171,787 Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0172,Gregorys Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0173,Frame NYC,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0174,Paris Baguette,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0228,Gansevoort Liberty Market,restaurant,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0175,Le Pain Quotidien,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0176,Barnes & Noble Cafe,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0177,JOE & THE JUICE,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0178,Black Star Bakery & Cafe,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0179,Inès,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0180,Birch Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0181,Bluestone Lane Chelsea Piers Café,cafe,0,1,0,1,0,0,0,0,0,1,0,1,True
cv_0182,Moka & Co,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0183,Ten Thousand Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0184,Home Sweet Harlem,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0185,Devoción,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0186,Buunni Coffee - Inwood,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0204,"Drip Drop Café, coffee shop",cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0187,Blue Bottle Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0188,Black Fox Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0189,787 Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0190,Picky Barista,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0227,Gregorys Coffee,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0191,Hi-Note Radio,other,0,1,0,1,0,0,0,0,0,1,0,1,True
cv_0192,La Colombe Coffee Workshop,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0193,Lafayette Grand Café & Bakery,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0194,Voyager Espresso,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0195,Think Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0196,Café Grumpy - Fashion District,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0197,kalei nyc,cafe,0,0,1,1,0,0,0,0,0,0,1,1,True
cv_0198,Boris & Horton,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0203,maman,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0199,Spring Cafe Aspen,cafe,0,0,0,0,1,0,0,1,1,0,0,1,True
cv_0200,Bluestone Lane Collective Caf,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0201,Joe Coffee Company: Chelsea,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0202,Caffe Vita,cafe,1,0,0,1,0,0,1,1,1,0,1,2,True
cv_0238,Birch Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0205,Joe Coffee Company: W 85th St,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0206,Third Rail Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0207,Gregorys Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0208,Think Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0209,Fort Washington Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0210,Riverside Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0211,Hamilton Grange Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0212,Harlem Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0213,Inwood Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0214,Seward Park Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0215,Harry Belafonte 115th Street Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0216,La Cabra Bakery,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0217,Café Integral,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0218,Cafe Grumpy - Manhattan West,cafe,1,0,0,1,1,0,0,1,2,0,0,2,True
cv_0219,Starbucks Coffee Company,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0220,JOE & THE JUICE,cafe,0,0,1,1,0,0,0,0,0,0,1,1,True
cv_0221,Arlo SoHo,hotel,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0222,Starbucks,cafe,0,0,0,0,1,0,0,1,1,0,0,1,True
cv_0223,Starbucks Coffee Company,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0224,Starbucks Coffee Company,cafe,0,0,1,1,0,0,1,1,0,0,2,2,True
cv_0225,Starbucks Reserve - West Village,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0226,Starbucks Coffee Company,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0251,Black Star Bakery & Cafe,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0229,Starbucks Coffee Company,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0230,Gregorys Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0231,Rex,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0232,Starbucks Coffee Company,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0233,Union Square Cafe,restaurant,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0234,Sipsteria Morningside,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0235,The Monkey Cup,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0236,The Uncommons,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0237,St Kilda Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0239,Le Pain Quotidien,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0240,Lucky Lucky Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0241,McNally Jackson Books Seaport,other,1,0,0,1,1,0,0,1,2,0,0,2,True
cv_0242,Lounge on Pearl,bar,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0294,:3Coffee | Flatiron,cafe,0,0,0,0,1,0,0,1,1,0,0,1,True
cv_0243,Gregorys Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0244,Afficionado Coffee Roasters,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0245,Black Press Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0246,Plowshares Coffee Roasters,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0247,TAP Brazilian Café – 100% Gluten-Free | Tapioca Sandwiches & Açaí | Upper West Side – NYC,restaurant,0,0,0,0,0,1,0,1,0,1,0,1,True
cv_0248,Paris Baguette,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0249,Blu Café,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0250,JOE & THE JUICE,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0252,Qahwah House coffee - W Village,cafe,0,0,0,0,0,1,0,1,0,1,0,1,True
cv_0253,Grace Street Coffee & Desserts,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0254,The Oasis Cafe,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0255,Remedy Diner,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0256,Coppelia,restaurant,0,1,0,1,0,1,0,1,0,2,0,2,True
cv_0257,Waverly Diner,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0258,Empanada Mama Hell’s Kitchen,restaurant,0,1,0,1,0,1,0,1,0,2,0,2,True
cv_0259,Cafe Aroma,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0265,Fellini Coffee - Upper West,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0260,Le Pain Quotidien,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0261,Sote Coffee Roasters,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0262,Da Capo,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0263,Zuri Coffee Broadway,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0264,maman,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0266,La Farine Pâtisserie et Café,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0267,Green Lane Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0268,Silver Moon Bakery,other,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0269,City Coffee & Bar,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0270,Typhoon Cafe,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0271,Qahwah House - Broadway,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0272,Oren’s Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0273,Hex & Company,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0274,787 Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0275,Citizen of Chelsea,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0277,Slate Cafe Midtown,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0278,Do Not Feed Alligators,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0279,% Arabica New York Nolita,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0280,Frame Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0281,Lê Phin,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0282,Café Lyria,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0283,Genesis House,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0284,WatchHouse 5th Ave.,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0285,Harney & Sons SoHo,other,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0286,Soho Grand Hotel,hotel,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0287,NOMO SOHO,hotel,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0288,Crosby Street Hotel,hotel,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0289,Battery Park City Library,library,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0290,Whole Foods Market,other,0,0,1,1,0,0,0,0,0,0,1,1,True
cv_0291,Dot's Cafe,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0292,Caffe Roma,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0293,"noa, a café",cafe,1,0,0,1,1,0,0,1,2,0,0,2,True
cv_0295,Blank Street,cafe,0,0,0,0,1,0,0,1,1,0,0,1,True
